date,lat,lon,rainfall_mm
2021-01-01,35.25190882,77.48635568,0.0
2021-01-01,35.25190882,77.93102174,0.0
2021-01-01,34.80724276,77.04168961,0.0
2021-01-01,34.80724276,77.48635568,0.0
2021-01-01,34.80724276,77.93102174,2.080883
2021-01-01,34.36257669,73.87961981,0.0
2021-01-01,34.36257669,74.32428588,0.0
2021-01-01,34.36257669,74.76895194,0.0
2021-01-01,34.36257669,75.21361801,0.0
2021-01-01,34.36257669,75.70769141,0.0
2021-01-01,34.36257669,76.15235748,0.0
2021-01-01,34.36257669,76.59702354,0.0
2021-01-01,34.36257669,77.04168961,0.0
2021-01-01,34.36257669,77.48635568,0.0
2021-01-01,34.36257669,77.93102174,0.0
2021-01-01,34.36257669,78.37568781,0.0
2021-01-01,34.36257669,78.82035387,0.0
2021-01-01,33.91791063,74.32428588,0.0
2021-01-01,33.91791063,74.76895194,0.0
2021-01-01,33.91791063,75.21361801,0.0
2021-01-01,33.91791063,75.70769141,0.0
2021-01-01,33.91791063,76.15235748,0.0
2021-01-01,33.91791063,76.59702354,0.0
2021-01-01,33.91791063,77.04168961,0.0
2021-01-01,33.91791063,77.48635568,0.0
2021-01-01,33.91791063,77.93102174,0.0
2021-01-01,33.91791063,78.37568781,0.0
2021-01-01,33.47324456,74.32428588,0.0
2021-01-01,33.47324456,74.76895194,0.0
2021-01-01,33.47324456,75.21361801,0.0
2021-01-01,33.47324456,75.70769141,0.0
2021-01-01,33.47324456,76.15235748,0.0
2021-01-01,33.47324456,76.59702354,0.0
2021-01-01,33.47324456,77.04168961,0.0
2021-01-01,33.47324456,77.48635568,0.0
2021-01-01,33.47324456,77.93102174,0.0
2021-01-01,33.47324456,78.37568781,0.0
2021-01-01,33.02857849,74.32428588,0.0
2021-01-01,33.02857849,74.76895194,0.0
2021-01-01,33.02857849,75.21361801,0.0
2021-01-01,33.02857849,75.70769141,0.0
2021-01-01,33.02857849,76.15235748,0.0
2021-01-01,33.02857849,76.59702354,0.0
2021-01-01,33.02857849,77.04168961,0.0
2021-01-01,33.02857849,77.48635568,0.0
2021-01-01,33.02857849,77.93102174,0.0
2021-01-01,33.02857849,78.37568781,0.0
2021-01-01,33.02857849,78.82035387,0.0
2021-01-01,32.58391243,74.76895194,0.0
2021-01-01,32.58391243,75.21361801,0.0
2021-01-01,32.58391243,75.70769141,0.0
2021-01-01,32.58391243,76.15235748,0.0
2021-01-01,32.58391243,76.59702354,0.0
2021-01-01,32.58391243,77.04168961,0.0
2021-01-01,32.58391243,77.48635568,0.0
2021-01-01,32.58391243,77.93102174,0.0
2021-01-01,32.58391243,78.37568781,0.0
2021-01-01,32.58391243,78.82035387,0.0
2021-01-01,32.13924636,75.70769141,0.0
2021-01-01,32.13924636,76.15235748,0.0
2021-01-01,32.13924636,76.59702354,0.0
2021-01-01,32.13924636,77.04168961,0.0
